name,platform,r-date,score,user score,developer,genre,players,critics,users
The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,9.1,Nintendo,Action Adventure,1 Player,22,5749
The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,9.1,Nintendo,Fantasy,1 Player,22,5749
Tony Hawk's Pro Skater 2,PlayStation,2000-09-20,98,7.4,NeversoftEntertainment,Sports,1-2 ,19,647
Tony Hawk's Pro Skater 2,PlayStation,2000-09-20,98,7.4,NeversoftEntertainment,Alternative,1-2 ,19,647
Tony Hawk's Pro Skater 2,PlayStation,2000-09-20,98,7.4,NeversoftEntertainment,Skateboarding,1-2 ,19,647
Grand Theft Auto IV,PlayStation3,2008-04-29,98,7.6,RockstarNorth,Action Adventure,1 Player,64,3806
Grand Theft Auto IV,PlayStation3,2008-04-29,98,7.6,RockstarNorth,Modern,1 Player,64,3806
Grand Theft Auto IV,PlayStation3,2008-04-29,98,7.6,RockstarNorth,Modern,1 Player,64,3806
Grand Theft Auto IV,PlayStation3,2008-04-29,98,7.6,RockstarNorth,Open-World,1 Player,64,3806
SoulCalibur,Dreamcast,1999-09-08,98,8.5,Namco,Action,1-2 ,24,324
SoulCalibur,Dreamcast,1999-09-08,98,8.5,Namco,Fighting,1-2 ,24,324
SoulCalibur,Dreamcast,1999-09-08,98,8.5,Namco,3D,1-2 ,24,324
Grand Theft Auto IV,Xbox360,2008-04-29,98,7.9,RockstarNorth,Action Adventure,1 Player,86,3364
Grand Theft Auto IV,Xbox360,2008-04-29,98,7.9,RockstarNorth,Modern,1 Player,86,3364
Grand Theft Auto IV,Xbox360,2008-04-29,98,7.9,RockstarNorth,Modern,1 Player,86,3364
Grand Theft Auto IV,Xbox360,2008-04-29,98,7.9,RockstarNorth,Open-World,1 Player,86,3364
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,Action,No Online Multiplayer,73,3059
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,Platformer,No Online Multiplayer,73,3059
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,Platformer,No Online Multiplayer,73,3059
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,3D,No Online Multiplayer,73,3059
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,3D,No Online Multiplayer,73,3059
Super Mario Galaxy 2,Wii,2010-05-23,97,9.1,NintendoEADTokyo,Action,No Online Multiplayer,87,2521
